rho,success,iterations,objective,base_objective,constraint_g,m2_weight,kappa,kappa_jacobi,lambda_min,lambda_max
0.1,True,23,-3.446620470819672,-3.5003332807870606,1.0364633130737317,21.03646331307373,209.16623123312993,12.167340717084699,0.11628442602645092,24.322775143060426
1.0,True,25,-3.398632624054489,-3.403914458336758,0.1027797089144471,20.102779708914447,1708.096088282974,19.50978041568477,0.1169308301597801,199.7290935956012
10.0,True,18,-3.3938841384159075,-3.394411164526452,0.010266704539866112,20.010266704539866,16986.39360728317,159.50989319117122,0.11659577928957084,1980.5417999605656
100.0,True,40,-3.3934098607589696,-3.3934625406326493,0.0010264489629747686,20.001026448962975,169784.02453605927,1571.66719298214,0.11655780648448491,19789.653476031035
1000.0,True,4,-3.3933624346729574,-3.3933676990820123,0.00010261002928402263,20.000102610029284,1697670.017002272,15694.077255672932,0.11655997377216148,197880.37265556975
10000.0,True,3,-3.39335769161248,-3.3933582165838816,1.0246671671154672e-05,20.00001024667167,16976012.05935745,156913.58440180763,0.11656374676187745,1978787.5707135194
