rho,iterations,final_projected_grad,final_objective_gap
0.1,849,9.967016577455467e-06,1.141442496077616e-11
1.0,9668,9.997574687405517e-06,1.0043699205652956e-10
10.0,15000,0.34926511597114795,0.00034318064087823785
